Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,619.95,632.35,616.75,626.9,630.0,630.25,628.14,659.95,457.8,"3,749,962","2,355,505,616.60","77,835"
23-Jun-2023,EQ,642.45,643.0,623.8,639.0,629.8,626.9,629.43,659.95,457.8,"4,159,293","2,617,986,708.35","62,641"
22-Jun-2023,EQ,642.5,655.8,637.25,642.5,640.0,639.0,647.86,659.95,457.8,"4,577,233","2,965,401,329.85","117,405"
21-Jun-2023,EQ,645.0,659.95,640.05,643.7,641.2,642.5,652.15,659.95,457.8,"7,689,046","5,014,410,211.65","261,973"
20-Jun-2023,EQ,627.0,644.85,624.2,626.55,643.9,643.7,639.16,644.85,457.8,"10,400,684","6,647,706,391.90","223,638"
19-Jun-2023,EQ,609.95,629.0,602.1,609.55,628.0,626.55,614.09,629.0,457.8,"7,087,287","4,352,199,638.30","147,153"
16-Jun-2023,EQ,577.8,615.0,576.6,578.15,610.2,609.55,604.73,620.6,457.8,"11,422,524","6,907,527,241.90","154,233"
15-Jun-2023,EQ,585.05,585.05,574.0,585.05,577.0,578.15,577.53,620.6,457.8,"2,074,065","1,197,837,794.15","46,278"
14-Jun-2023,EQ,584.8,589.45,581.8,584.8,583.8,585.05,585.67,620.6,457.8,"5,344,073","3,129,846,318.05","45,800"
13-Jun-2023,EQ,582.25,587.0,581.0,584.4,584.4,584.8,584.7,620.6,457.8,"3,288,950","1,923,042,625.60","45,277"
12-Jun-2023,EQ,585.95,591.0,581.45,581.7,584.85,584.4,585.51,620.6,457.8,"3,327,440","1,948,235,658.70","61,103"
09-Jun-2023,EQ,587.95,593.7,576.75,593.9,582.0,581.7,583.68,620.6,457.8,"3,023,579","1,764,802,025.75","65,566"
08-Jun-2023,EQ,594.45,597.4,589.8,594.45,595.0,593.9,594.51,620.6,457.8,"1,675,907","996,337,955.40","47,428"
07-Jun-2023,EQ,583.0,595.5,582.7,579.7,595.2,594.45,592.15,620.6,457.8,"3,440,284","2,037,160,153.55","67,541"
06-Jun-2023,EQ,574.15,582.75,567.9,574.15,582.6,579.7,574.21,620.6,457.8,"3,334,157","1,914,494,896.50","77,937"
05-Jun-2023,EQ,578.05,580.95,573.0,576.4,573.2,574.15,575.95,620.6,457.8,"2,230,529","1,284,670,486.00","55,141"
02-Jun-2023,EQ,585.3,586.0,572.95,582.2,576.1,576.4,577.8,620.6,457.8,"3,192,761","1,844,793,257.30","67,255"
01-Jun-2023,EQ,593.45,594.45,581.0,592.35,581.0,582.2,586.81,620.6,457.8,"1,659,264","973,678,090.05","51,264"
31-May-2023,EQ,603.0,603.7,584.25,585.15,593.3,592.35,592.04,620.6,457.8,"10,027,475","5,936,681,163.20","109,999"
30-May-2023,EQ,576.0,589.0,571.0,579.05,589.0,585.15,577.66,620.6,457.8,"2,653,926","1,533,060,765.45","56,274"
29-May-2023,EQ,577.3,588.45,575.0,577.2,578.7,579.05,581.85,620.6,457.8,"2,794,717","1,626,116,224.55","64,398"
26-May-2023,EQ,572.0,578.85,569.35,572.05,577.0,577.2,574.51,620.6,457.8,"1,467,444","843,056,721.10","40,819"
25-May-2023,EQ,566.0,573.7,563.05,566.0,573.0,572.05,570.02,620.6,457.8,"1,307,797","745,476,917.15","27,422"
24-May-2023,EQ,562.6,571.95,558.9,562.7,567.0,566.0,566.21,620.6,457.8,"1,529,396","865,962,417.45","34,078"
23-May-2023,EQ,567.7,573.75,561.15,567.0,562.6,562.7,565.81,620.6,457.8,"3,425,506","1,938,176,341.50","72,221"
22-May-2023,EQ,557.0,569.2,554.5,557.6,565.55,567.0,564.72,620.6,457.8,"1,975,841","1,115,789,080.15","40,134"
19-May-2023,EQ,564.9,564.9,554.95,561.55,556.95,557.6,558.31,620.6,457.8,"1,484,899","829,040,088.85","33,676"
18-May-2023,EQ,564.0,568.8,559.3,560.1,562.35,561.55,564.33,620.6,457.8,"1,745,334","984,946,003.05","40,777"
17-May-2023,EQ,562.0,562.75,552.4,559.5,557.95,560.1,557.75,620.6,457.8,"1,395,385","778,269,850.70","41,302"
16-May-2023,EQ,562.2,563.5,554.0,559.3,559.25,559.5,558.51,620.6,457.8,"3,027,008","1,690,615,281.45","78,078"
15-May-2023,EQ,559.9,563.05,556.3,560.65,559.0,559.3,559.26,620.6,457.8,"1,984,609","1,109,920,776.25","52,818"
12-May-2023,EQ,567.4,569.0,558.65,567.4,561.85,560.65,563.86,620.6,457.8,"1,433,810","808,465,293.80","54,606"
11-May-2023,EQ,562.05,569.4,561.05,562.65,567.0,567.4,566.84,620.6,457.8,"1,620,276","918,438,763.20","41,925"
10-May-2023,EQ,553.4,563.5,551.15,552.05,562.0,562.65,560.3,620.6,457.8,"3,191,516","1,788,196,752.45","60,001"
09-May-2023,EQ,552.5,557.45,549.6,549.55,551.25,552.05,553.66,620.6,457.8,"1,927,306","1,067,077,945.65","53,013"
08-May-2023,EQ,542.0,551.0,540.0,539.7,550.1,549.55,547.68,620.6,457.8,"1,970,280","1,079,089,606.95","54,767"
05-May-2023,EQ,543.0,548.75,537.5,546.5,540.6,539.7,543.13,620.6,457.8,"2,159,574","1,172,928,531.50","50,935"
04-May-2023,EQ,539.8,549.75,536.55,538.7,546.0,546.5,546.2,620.6,457.8,"2,312,821","1,263,258,730.25","48,150"
03-May-2023,EQ,544.0,547.85,535.1,544.5,538.45,538.7,540.12,620.6,457.8,"2,875,460","1,553,085,905.55","58,784"
02-May-2023,EQ,530.0,545.85,529.55,529.75,544.25,544.5,539.18,620.6,457.8,"4,239,067","2,285,632,926.20","94,544"
